"","coach_name","tournament_name","roster.name","naf_id","ranking","best_ranking","X","Naf.nick","Coach.rating","Alltime.high","Year.high","Country","Naf.games.played","Win.procent","order","division"
"1","historic","Super League S7 EU Bottom Swiss","Wood Elf",22667,190.42,190.42,NA,"Historic",184.71,252.98,206.08,"France","196 (92/42/62)",57.65,501,"04 – EU Swiss"
"2","Harpick","Super League S7 EU Bottom Swiss","Halfling",32145,184.05,184.05,NA,"Harpick",223.74,223.74,223.74,"France","36 (20/11/5)",70.83,501,"04 – EU Swiss"
"3","Zahiko","Super League S7 EU Bottom Swiss","Tomb Kings",13997,182.64,233.12,NA,"zahiko",303.12,308.1,308.1,"France","628 (323/170/135)",64.97,501,"04 – EU Swiss"
"4","Borknagar85","Super League S7 EU Bottom Swiss","Skaven",33015,179.28,179.28,NA,"borknagar85",199.72,214.94,214.94,"Italy","53 (18/15/20)",48.11,501,"04 – EU Swiss"
"5","EvilSmoothie","Super League S7 EU Bottom Swiss","Khorne",28783,178.24,201.08,NA,"EvilSmoothie",212.86,229.9,227.12,"Finland","269 (129/70/70)",60.97,501,"04 – EU Swiss"
"6","AmazingGaze","Super League S7 EU Bottom Swiss","Amazon",32634,177.24,201.08,NA,"AmazingGaze",234.6,236.26,236.26,"Germany","67 (33/18/16)",62.69,501,"04 – EU Swiss"
"7","jadawin91","Super League S7 EU Bottom Swiss","Chaos Chosen",28040,177.1,177.1,NA,"Jadawin",214.48,224.89,224.89,"France","114 (52/31/31)",59.21,501,"04 – EU Swiss"
"8","otis","Super League S7 EU Bottom Swiss","Human",16782,175.28,239.44,NA,"otis",259.96,266.36,266.36,"Switzerland","280 (131/73/76)",59.82,501,"04 – EU Swiss"
"9","palmtaiga","Super League S7 EU Bottom Swiss","Vampire",27077,171.68,171.68,NA,"Palmtaiga",183.04,194.55,194.55,"Malta","227 (76/49/102)",44.27,501,"04 – EU Swiss"
"10","xtapodias","Super League S7 EU Bottom Swiss","Skaven",28002,170.86,170.86,NA,"xtapodias",195.73,198.89,198.67,"Greece","86 (33/28/25)",54.65,501,"04 – EU Swiss"
"11","WoZoI","Super League S7 EU Bottom Swiss","Skaven",30779,170.54,184.62,NA,"wozoi",182.91,225.7,225.7,"France","168 (59/45/64)",48.51,501,"04 – EU Swiss"
"12","Yaulande","Super League S7 EU Bottom Swiss","Amazon",41268,162.52,162.52,NA,"Yaulande",171.66,172.47,172.47,"On a deserted island","16 (6/6/4)",56.25,501,"04 – EU Swiss"
"13","benito1724","Super League S7 EU Bottom Swiss","Goblin",32368,161.32,161.32,NA,"benito",181.33,181.33,181.33,"On a deserted island","37 (18/5/14)",55.41,501,"04 – EU Swiss"
"14","Regor","Super League S7 EU Bottom Swiss","Vampire",40935,158.86,168.89,NA,"Regor",200.75,200.75,200.75,"Portugal","20 (13/4/3)",75,501,"04 – EU Swiss"
"15","mepmuff_2","Super League S7 EU Bottom Swiss","Khorne",6123,158.28,201.72,NA,"Mepmuff",214.72,234.31,228.85,"Netherlands","533 (237/123/173)",56,501,"04 – EU Swiss"
"16","Mercutio","Super League S7 EU Bottom Swiss","Chaos Chosen",38452,155.51,161.03,NA,"mercutio_uk",165.15,176.8,176.8,"England","24 (10/6/8)",54.17,501,"04 – EU Swiss"
"17","DrClaes","Super League S7 EU Bottom Swiss","Snotling",29945,154.78,154.78,NA,"drclaes",157.76,161.91,161.91,"On a deserted island","22 (7/2/13)",36.36,501,"04 – EU Swiss"
"18","JuicyBee","Super League S7 EU Bottom Swiss","Chaos Chosen",22788,154.11,194.59,NA,"JuicyBee",208.33,219.41,219.41,"Finland","192 (70/58/64)",51.56,501,"04 – EU Swiss"
"19","Shriyke","Super League S7 EU Bottom Swiss","Dark Elf",30033,153.96,210.98,NA,"shriyke",230.84,245.26,245.26,"Scotland","197 (94/46/57)",59.39,501,"04 – EU Swiss"
"20","DaProfezzur","Super League S7 EU Bottom Swiss","Chaos Chosen",28975,150.59,154.52,NA,"DaProfezzur",147.15,154.99,154.99,"Portugal","40 (13/11/16)",46.25,501,"04 – EU Swiss"
"21","POCKUS","Super League S7 EU Bottom Swiss","Imperial Nobility",27500,150.21,150.21,NA,"Pockus",134.67,158.47,140.41,"Switzerland","35 (8/9/18)",35.71,501,"04 – EU Swiss"
"22","Serpe","Super League S7 EU Bottom Swiss","Amazon",35864,150.05,156.01,NA,"serpe",161.48,169.2,161.48,"Italy","67 (22/10/35)",40.3,501,"04 – EU Swiss"
"23","ForceFrenzy","Super League S7 EU Bottom Swiss","Chaos Chosen",35033,150.03,173.45,NA,"forcefrenzy",185.38,185.38,185.38,"Denmark","25 (11/7/7)",58,501,"04 – EU Swiss"
"24","Tok_Janne","Super League S7 EU Bottom Swiss","Gnome",25744,146.86,192.12,NA,"tok_janne",201.15,232.32,232.32,"Sweden","149 (76/32/41)",61.74,501,"04 – EU Swiss"
"25","MONGOR79","Super League S7 EU Bottom Swiss","Orc",25820,142.98,142.98,NA,"MONGOR",153.27,172.39,0,"Greece","50 (16/11/23)",43,501,"04 – EU Swiss"
"26","BdG","Super League S7 EU Bottom Swiss","Skaven",16603,138.03,147,NA,"bdg",134.21,167.41,135.93,"Switzerland","140 (42/27/71)",39.64,501,"04 – EU Swiss"
"27","nrKst","Super League S7 EU Bottom Swiss","Chaos Chosen",41269,134.75,134.75,NA,"nrKst",133.79,144.57,144.57,"Germany","16 (3/6/7)",37.5,501,"04 – EU Swiss"
"28","razmus","Super League S7 EU Bottom Swiss","Imperial Nobility",24325,NA,154.15,NA,"razmus",157.46,161.83,161.67,"United States of America","29 (12/4/13)",48.28,501,"04 – EU Swiss"
"29","Lort_paa_braettet","Super League S7 EU Bottom Swiss","Wood Elf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,"04 – EU Swiss"
"30","Thoriin","Super League S7 EU Bottom Swiss","Nurgle",40030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,"04 – EU Swiss"
"31","MerryZ","Super League S7 EU Bottom Swiss","Chaos Chosen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,"04 – EU Swiss"
"32","madvig","Super League S7 EU Bottom Swiss","Gnome",24222,NA,192.63,NA,"MadVig",263.34,263.34,263.34,"Denmark","240 (125/62/53)",65,501,"04 – EU Swiss"
"33","baronvdw","Super League S7 EU Bottom Swiss","Dwarf",27703,NA,179.2,NA,"Baronvdw",222.9,254.41,254.41,"Malta","144 (78/34/32)",65.97,501,"04 – EU Swiss"
"34","Padster61","Super League S7 EU Bottom Swiss","Imperial Nobility",26810,NA,173,NA,"Padster",166.27,192.56,184.7,"North Ireland","409 (129/128/152)",47.19,501,"04 – EU Swiss"
"35","Mushkun","Super League S7 EU Bottom Swiss","Norse",29829,NA,162.26,NA,"Snows",151.03,151.51,151.03,"Portugal","29 (9/6/14)",41.38,501,"04 – EU Swiss"
"36","OwenZ51","Super League S7 EU Bottom Swiss","Black Orc",36383,NA,162.93,NA,"FauxOwen",148.59,148.59,0,"France","12 (5/0/7)",41.67,501,"04 – EU Swiss"
"37","PilePoil","Super League S7 EU Bottom Swiss","Slann",33458,NA,167.22,NA,"pilepoil",142.95,187.71,187.71,"Switzerland","93 (27/23/43)",41.4,501,"04 – EU Swiss"
"38","Ion","Super League S7 EU Bottom Swiss","Khorne",30099,NA,164.27,NA,"ion",172.56,199.88,199.88,"Malta","214 (70/69/75)",48.83,501,"04 – EU Swiss"
"39","elodius","Super League S7 EU Bottom Swiss","Necromantic Horror",26080,NA,165.37,NA,"elodius",158.49,175.74,158.97,"Belgium","78 (29/17/32)",48.08,501,"04 – EU Swiss"
"40","Widram","Super League S7 EU Bottom Swiss","Elven Union",26904,NA,167.79,NA,"Widram",124.48,195.84,131.13,"Wales","150 (46/36/68)",42.67,501,"04 – EU Swiss"
"41","raiksnn","Super League S7 EU Bottom Swiss","Dark Elf",30774,NA,169.48,NA,"raiksnn",165.15,165.15,165.15,"Germany","38 (14/8/16)",47.37,501,"04 – EU Swiss"
"42","CromFrance","Super League S7 EU Bottom Swiss","Skaven",13555,NA,174.76,NA,"CromFrance",155.18,194.46,185.8,"France","368 (123/98/147)",46.74,501,"04 – EU Swiss"
"43","Fatzke","Super League S7 EU Bottom Swiss","Chaos Chosen",26463,NA,142.34,NA,"fatzke423",139.69,151.21,142.73,"Germany","39 (11/8/20)",38.46,501,"04 – EU Swiss"
"44","SickAsEggs","Super League S7 EU Bottom Swiss","Elven Union",29300,NA,189.93,NA,"SickasEggs",229.48,245.82,245.82,"England","210 (97/57/56)",59.76,501,"04 – EU Swiss"
"45","Megamind","Super League S7 EU Bottom Swiss","Elven Union",23794,NA,196.16,NA,"Megamind",229.51,237.74,233,"United States of America","96 (60/20/16)",72.92,501,"04 – EU Swiss"
"46","galentio","Super League S7 EU Bottom Swiss","Shambling Undead",40754,NA,178.51,NA,"galentio",180.38,181.93,181.93,"Portugal","23 (13/6/4)",69.57,501,"04 – EU Swiss"
"47","Ulrik","Super League S7 EU Bottom Swiss","Dwarf",10155,NA,206.44,NA,"Ulrik",234.04,250.52,250.52,"Denmark","111 (50/27/34)",57.21,501,"04 – EU Swiss"
"48","Chicken23","Super League S7 EU Bottom Swiss","Imperial Nobility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,"04 – EU Swiss"
"49","straume","Super League S7 EU Championship A","Wood Elf",20685,247.22,247.22,NA,"Straume",256.62,299.09,293.48,"Norway","446 (241/135/70)",69.17,101,"00 – EU Championship"
"50","siggi","Super League S7 EU Championship A","Amazon",25971,211.7,251.1,NA,"siggi",241.76,302.12,268.38,"Switzerland","480 (290/98/92)",70.63,101,"00 – EU Championship"
"51","Thot","Super League S7 EU Championship A","Skaven",19526,166.89,209.57,NA,"Thot",245.79,267.98,253.28,"France","479 (270/101/108)",66.91,101,"00 – EU Championship"
"52","Budmilka","Super League S7 EU Championship A","Gnome",20320,162.68,211.82,NA,"Budmilka",221.13,242.23,225.29,"France","604 (255/157/192)",55.22,101,"00 – EU Championship"
"53","doclystria","Super League S7 EU Championship A","Old World Alliance",2808,NA,233.18,NA,"Miko",248.09,286.2,278.99,"Germany","395 (219/89/87)",66.71,101,"00 – EU Championship"
"54","JLeav","Super League S7 EU Championship A","High Elf",33751,NA,222.56,NA,"jleav",280.02,290.72,290.72,"United States of America","186 (132/33/21)",79.84,101,"00 – EU Championship"
"55","happygrue","Super League S7 EU Championship A","Imperial Nobility",16876,NA,199.4,NA,"happygrue",210.36,211.43,210.36,"United States of America","21 (15/4/2)",80.95,101,"00 – EU Championship"
"56","KFoged","Super League S7 EU Championship A","Imperial Nobility",10691,NA,278.05,NA,"KFoged",258.75,291.02,277.64,"England","788 (471/162/155)",70.05,101,"00 – EU Championship"
"57","Beltroniko","Super League S7 EU Championship B","Wood Elf",36563,205.31,205.31,NA,"Beltroniko",238.06,240.08,240.08,"Portugal","72 (47/12/13)",73.61,102,"00 – EU Championship"
